K,Noise (σ),Mean Jaccard Dist,Displacement (%),Disp ≤ 20%,Base Event Rate,Pert Event Rate,Rate Δ (%),Δ ≤ 10%
10,0.05,0.1388,15.6,PASS,0.6,0.526,7.4,PASS
10,0.1,0.222,25.6,FAIL,0.6,0.496,10.4,FAIL
10,0.2,0.3283,40.4,FAIL,0.6,0.51,9.0,PASS
20,0.05,0.4696,61.6,FAIL,0.6,0.455,14.5,FAIL
20,0.1,0.4803,63.4,FAIL,0.6,0.453,14.7,FAIL
20,0.2,0.5114,69.0,FAIL,0.6,0.472,12.8,FAIL
50,0.05,0.5347,73.2,FAIL,0.46,0.458,0.2,PASS
50,0.1,0.5398,74.16,FAIL,0.46,0.4552,0.48,PASS
50,0.2,0.5597,78.0,FAIL,0.46,0.4524,0.76,PASS
100,0.05,0.0236,2.4,PASS,0.43,0.4348,0.48,PASS
100,0.1,0.0433,4.44,PASS,0.43,0.4346,0.46,PASS
100,0.2,0.1041,11.0,PASS,0.43,0.4352,0.52,PASS
